column,attribute,helper_function,default_value
transmission_line,name,,
from_zone,from_zone,,
to_zone,to_zone,,
max_cap_mw_1,capacity_planned,,
max_cap_mw_2,capacity_planned,,
max_cap_mw_3,capacity_planned,,
max_cap_mw_4,capacity_planned,,
max_cap_mw_5,capacity_planned,,
max_cap_mw_6,capacity_planned,,
max_cap_mw_7,capacity_planned,,
max_cap_mw_8,capacity_planned,,
max_cap_mw_9,capacity_planned,,
max_cap_mw_10,capacity_planned,,
max_cap_mw_11,capacity_planned,,
max_cap_mw_12,capacity_planned,,
forced_outage_factor,stochastic_outage_factor,,
mean_time_to_repair_hr,,,24
forced_outage_distribution_number,,,64
maint_1,,,0
maint_2,,,0
maint_3,,,0
maint_4,,,0
maint_5,,,0
maint_6,,,0
maint_7,,,0
maint_8,,,0
maint_9,,,0
maint_10,,,0
maint_11,,,0
maint_12,,,0
maint_time_hr,,,24
maintenance_outage_distribution_number,,,64
random_seed,random_seed,,
include,,,1
